 Maintaining 16 concurrent writes of 4194304 bytes for up to 1000 seconds or 0 objects
 Object prefix: benchmark_data_hjem_1853476
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        32        16   63.9937        64  0.974024  0.907628
     2      16        78        62   123.989       184  0.496082  0.494996
     3      16       116       100   133.321       152  0.446123  0.444894
     4      16       150       134   133.988       136  0.375207  0.451776
     5      16       182       166   132.789       128  0.519502  0.454383
     6      16       198       182   121.323        64  0.945362  0.460086
     7      16       219       203   115.991        84  0.737862  0.517723
     8      16       239       223   111.491        80  0.616143  0.559891
     9      16       246       230   102.214        28   1.14667  0.566623
    10      16       268       252   100.792        88  0.574383  0.606492
    11      16       291       275    99.992        92  0.310352  0.618168
    12      16       308       292   97.3256        68     1.117  0.629618
    13      16       323       307   94.4541        60   1.21786  0.651488
    14      16       352       336   95.9924       116  0.539314  0.656706
    15      16       359       343   91.4595        28  0.340857   0.65359
    16      16       378       362   90.4929        76   0.73062  0.695097
    17      16       387       371   87.2875        36  0.558461  0.690677
    18      16       401       385    85.549        56   1.66308  0.724398
    19      16       416       400   84.2041        60   1.04474  0.746662
2016-04-11 21:44:11.822209min lat: 0.119102 max lat: 3.57232 avg lat: 0.735547
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       447       431   86.1933       124   0.15712  0.735547
    21      16       481       465   88.5641       136   0.70377  0.711757
    22      16       494       478   86.9018        52   1.08856  0.714838
    23      16       526       510   88.6883       128  0.506489  0.713553
    24      16       557       541   90.1592       124  0.139452  0.697873
    25      16       573       557   89.1127        64   1.38324  0.701871
    26      16       593       577   88.7619        80   1.03232  0.707092
    27      16       607       591   87.5482        56    1.1476  0.713938
    28      16       630       614    87.707        92    0.6391   0.72105
    29      16       653       637   87.8548        92  0.568227  0.722862
    30      16       679       663   88.3927       104  0.902934  0.716504
    31      16       695       679   87.6057        64  0.349754  0.717442
    32      16       716       700   87.4928        84  0.803858  0.721827
    33      16       725       709   85.9324        36   0.86634   0.72706
    34      16       743       727   85.5225        72  0.613409  0.736701
    35      16       750       734   83.8789        28   1.46853  0.741084
    36      16       767       751   83.4377        68  0.990738  0.759145
    37      16       776       760   82.1555        36   1.08217  0.760367
    38      16       801       785   82.6249       100  0.583194  0.768514
    39      16       841       825   84.6085       160  0.265976  0.752403
2016-04-11 21:44:31.823913min lat: 0.118219 max lat: 3.57232 avg lat: 0.747882
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16       863       847   84.6931        88  0.700313  0.747882
    41      16       887       871   84.9687        96  0.650864  0.746448
    42      16       897       881   83.8979        40  0.690915  0.743915
    43      16       905       889   82.6909        32  0.116456  0.748367
    44      16       930       914   83.0842       100   0.34215  0.762711
    45      16       961       945   83.9932       124  0.785866  0.756899
    46      16       984       968   84.1671        92  0.604494  0.754638
    47      16       995       979   83.3124        44   1.19373  0.754907
    48      16      1005       989     82.41        40   1.21812  0.755785
    49      16      1019      1003   81.8709        56  0.786182  0.768522
    50      16      1033      1017   81.3534        56   1.70343  0.774901
    51      16      1049      1033    81.013        64   2.42115  0.783568
    52      16      1057      1041   80.0704        32  0.210001  0.782292
